"Name","Category","Description","Generation_Prompt"
"The Rugged Explorer","Character (Top-Down)","A rugged explorer wearing a wide-brimmed hat and holding a walking stick.","Top-down bird's eye view 2D game sprite of a rugged explorer wearing a wide-brimmed hat and holding a walking stick. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"The Plague Doctor","Character (Top-Down)","A plague doctor in a dark leather coat and a raven mask.","Top-down bird's eye view 2D game sprite of a plague doctor in a dark leather coat and a raven mask. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"The Aristocrat","Character (Top-Down)","An aristocratic collector in a fine velvet coat with gold embroidery.","Top-down bird's eye view 2D game sprite of an aristocratic collector in a fine velvet coat with gold embroidery. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"The Alchemist","Character (Top-Down)","An alchemist with glass vials glowing bright green attached to their belt.","Top-down bird's eye view 2D game sprite of an alchemist with glass vials glowing bright green attached to their belt. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"The Knight-Historian","Character (Top-Down)","A heavily armored knight-historian wearing chainmail and holding a heavy book.","Top-down bird's eye view 2D game sprite of a heavily armored knight-historian wearing chainmail and holding a heavy book. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"The Stealthy Rogue","Character (Top-Down)","A stealthy antiquarian wearing a dark green hood and a dark cloak.","Top-down bird's eye view 2D game sprite of a stealthy antiquarian wearing a dark green hood and a dark cloak. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"The Old Sage","Character (Top-Down)","An old bearded sage wearing a long grey robe and leaning on a glowing staff.","Top-down bird's eye view 2D game sprite of an old bearded sage wearing a long grey robe and leaning on a glowing staff. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"The Clockwork Engineer","Character (Top-Down)","A scholar with intricate brass clockwork prosthetic limbs.","Top-down bird's eye view 2D game sprite of a scholar with intricate brass clockwork prosthetic limbs. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"The Wealthy Merchant","Character (Top-Down)","A wealthy merchant wrapped in thick, opulent fur robes.","Top-down bird's eye view 2D game sprite of a wealthy merchant wrapped in thick, opulent fur robes. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
"Nobleman","Audience (Rear View)","Rear view showing the back of the head of a wealthy nobleman wearing a white powdered wig.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a wealthy nobleman wearing a white powdered wig and a velvet collar. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Street Urchin","Audience (Rear View)","Rear view showing the back of the head of a poor street urchin wearing a flat cap.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a poor street urchin wearing a flat cap and a dirty brown tunic. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Aristocratic Lady","Audience (Rear View)","Rear view showing the back of the head of a lady wearing an elaborate hat with giant ostrich feathers.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a lady wearing an elaborate hat with giant ostrich feathers. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"City Guard","Audience (Rear View)","Rear view showing the back of the head of a city guard wearing a polished steel helmet.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a city guard wearing a polished steel helmet and a chainmail collar. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Bald Scholar","Audience (Rear View)","Rear view showing the back of the head of a bald scholar with a thick red wool collar.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a bald scholar with a thick red wool collar. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Hooded Figure","Audience (Rear View)","Rear view showing the back of the head of a mysterious figure wearing a deep green, heavy cloak hood.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a mysterious figure wearing a deep green, heavy cloak hood. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Little Girl","Audience (Rear View)","Rear view showing the back of the head of a little girl with two braided pigtails.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a little girl with two braided pigtails. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Tall Top Hat","Audience (Rear View)","Rear view showing the back of the head of a tall man wearing a battered, tall black top hat.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a tall man wearing a battered, tall black top hat. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Crazy Alchemist","Audience (Rear View)","Rear view showing the back of the head of an alchemist with wild frizzy hair and brass goggles strapped to the back of their head.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of an alchemist with wild frizzy hair and brass goggles strapped to the back of their head. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Old Woman","Audience (Rear View)","Rear view showing the back of the head of an old woman with a thick knitted grey shawl wrapped over her head.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of an old woman with a thick knitted grey shawl wrapped over her head. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Exotic Merchant","Audience (Rear View)","Rear view showing the back of the head of a merchant wearing a silk turban and a gold chain collar.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a merchant wearing a silk turban and a gold chain collar. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Sooty Miner","Audience (Rear View)","Rear view showing the back of the head of a miner with a soot-stained neck and a worn leather cap.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a miner with a soot-stained neck and a worn leather cap. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"High Priest","Audience (Rear View)","Rear view showing the back of the head of a priest wearing a high, stiff white collar and golden embroidery.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a priest wearing a high, stiff white collar and golden embroidery. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Elegant Updo","Audience (Rear View)","Rear view showing the back of the head of a woman with an elegant hair updo pinned with silver combs.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a woman with an elegant hair updo pinned with silver combs. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Burly Sailor","Audience (Rear View)","Rear view showing the back of the head of a rugged sailor wearing a wool beanie, with a thick beard visible from the sides.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a rugged sailor wearing a wool beanie, with a thick beard visible from the sides. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Masked Noble","Audience (Rear View)","Rear view showing the back of the head of an aristocrat, showing the leather straps of a mask tied at the back of the head.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of an aristocrat, showing the leather straps of a mask tied at the back of the head. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Young Boy","Audience (Rear View)","Rear view showing the back of the head of a young boy with messy short hair and leather suspenders.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a young boy with messy short hair and leather suspenders. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Resting Knight","Audience (Rear View)","Rear view showing the back of the head of a knight with a heavy greathelm strapped to their back.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a knight with a heavy greathelm strapped to their back, resting on a padded collar. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Dreadlocked Traveler","Audience (Rear View)","Rear view showing the back of the head of a traveler with long thick dreadlocks wearing a colorful woven poncho.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a traveler with long thick dreadlocks wearing a colorful woven poncho. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
"Ghostly Visitor","Audience (Rear View)","Rear view showing the back of the head of a translucent, glowing blue ghostly figure in ragged Victorian clothes.","2D game sprite, exact rear view from behind showing only the back of the head and shoulders of a translucent, glowing blue ghostly figure in ragged Victorian clothes. Stylized fantasy realism, warm dusty lighting, isolated on a solid neutral grey background."
