"Name","Category","Antiquarian_Description","Idle_Income","Generation_Prompt"
"Doorless Birdcage","Mysterious","A golden cage without any opening. The skeleton of an unknown, multi-winged bird sits on the perch. How did it get in?","17 Gold/h","Isometric fantasy concept art of a golden birdcage with no doors containing a multi-winged skeleton resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Mirror Claw","Mysterious","A crusted bronze gauntlet whose fingertips are small, perfectly polished mirrors. For blind scholars?","12 Gold/h","Isometric fantasy concept art of a bronze gauntlet with mirror-polished fingertips resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Rune Slab","Mysterious","A thick slate tablet. The carved runes change their position daily, as if wandering across the stone.","14 Gold/h","Isometric fantasy concept art of a thick slate tablet covered in glowing shifting runes resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Two-Handed Ritual Idol","Misinterpreted (Game Controller)","A religious artifact meant for two hands. By pressing the colored buttons, the priest must have issued commands to the gods.","25 Gold/h","Isometric fantasy concept art of a PlayStation game controller presented as a mysterious holy relic resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Amulet of Forgetting","Misinterpreted (Floppy Disk)","A rigid, flat square made of very light material. A small metal plate rattles inside. A talisman to magically lock away thoughts.","20 Gold/h","Isometric fantasy concept art of a 3.5 inch floppy disk presented as an arcane artifact resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Demon Catcher","Misinterpreted (Tennis Racket)","An oval frame with a tightly stretched net on a long handle. Evidently used to strike evil spirits out of the air mid-leap.","18 Gold/h","Isometric fantasy concept art of a wooden tennis racket presented as a magical dreamcatcher resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Monolith of Vanity","Misinterpreted (Smartphone)","A pitch-black hand mirror made of glass and strange metal. You only see your own face in it. A tool of extreme narcissism.","35 Gold/h","Isometric fantasy concept art of a cracked smartphone presented as an evil black glass mirror resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Vacuum Glass Drop","Misinterpreted (Lightbulb)","An incredibly delicate glass drop. Tiny iron wires rise up inside. Probably the housing for a banished light spirit.","22 Gold/h","Isometric fantasy concept art of a classic lightbulb presented as a magical spirit trap resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Alchemical Brew Reactor","Misinterpreted (Drip Coffee Maker)","A strange apparatus of glass and dark synthetic material. Apparently, hot water was used here to brew black, invigorating elixirs.","28 Gold/h","Isometric fantasy concept art of a modern drip coffee maker presented as a complex alchemical apparatus resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Helm of Blindness","Misinterpreted (VR Headset)","A bulky visor that completely covers the eyes. A torture instrument to lock delinquents in absolute, terrifying darkness.","40 Gold/h","Isometric fantasy concept art of a bulky VR headset presented as a torture blindfold mask resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Iridescent Throwing Disc","Misinterpreted (CD/DVD)","A razor-sharp, flawless disc with a hole in the middle. It catches rainbows in the light. Likely belonged to a very extravagant assassin.","19 Gold/h","Isometric fantasy concept art of a shiny CD disc catching rainbow reflections presented as a deadly throwing star resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Colorful Cube of Madness","Misinterpreted (Rubik's Cube)","A plastic block whose sides can be rotated. The colors are scrambled. Whoever tries to order it inevitably loses their mind.","30 Gold/h","Isometric fantasy concept art of a Rubiks Cube presented as a maddening puzzle box resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Squeaking Yellow Idol","Misinterpreted (Rubber Duck)","A small, soft animal idol in bright yellow. When squeezed, it lets out a pitiful cry. Probably served in dark sacrificial bathing rituals.","24 Gold/h","Isometric fantasy concept art of a yellow rubber duck presented as a cursed tribal idol resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Board of a Hundred Runes","Misinterpreted (Keyboard)","A flat board with over a hundred individually pressable switches, printed with arcane symbols (W, A, S, D). The control unit of a mighty golem.","32 Gold/h","Isometric fantasy concept art of a mechanical computer keyboard presented as an ancient runic control board resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Soft-Glass Amphora","Misinterpreted (PET Water Bottle)","A transparent bottle that can be squeezed without breaking. A technological marvel of glassblowing!","15 Gold/h","Isometric fantasy concept art of a crumpled plastic water bottle presented as an indestructible glass amphora resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Acoustic Shackle","Misinterpreted (Wired Earbuds)","Two tiny plugs on an infinitely tangled white rope. They were put into the ears to bind the wearer to the rope, forcing obedience.","21 Gold/h","Isometric fantasy concept art of tangled wired earbuds presented as magical acoustic bindings resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Name","Category","Antiquarian_Description","Idle_Income","Generation_Prompt"
"Pulsing Glass Chrysalis","Mysterious (Organic)","A translucent cocoon made of what feels like warm glass. Something inside is slowly pulsing with a faint blue light. I dare not tap the surface.","25 Gold/h","Isometric fantasy concept art of a translucent glass chrysalis pulsing with inner blue light resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Petrified Clockwork Heart","Mysterious (Organic)","An anatomical heart turned to stone, but an unknown surgeon has grafted intricate brass gears into the ventricles. It still ticks faintly.","30 Gold/h","Isometric fantasy concept art of a petrified anatomical heart grafted with intricate ticking brass gears resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Bioluminescent Terrarium","Mysterious (Organic)","A sealed glass dome containing strange, pale fungi. They cast an eerie, cold green glow and seem to lean towards whoever is watching them.","18 Gold/h","Isometric fantasy concept art of a sealed glass dome containing glowing pale green fungi resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Chitinous Puzzle Sphere","Mysterious (Organic)","A sphere made of interlocking insectoid shell fragments. It feels uncomfortably warm, and the segments shift slightly when I am not looking.","22 Gold/h","Isometric fantasy concept art of a sphere made of interlocking dark iridescent insect carapace resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Amber-Sealed Tentacle","Mysterious (Organic)","A massive block of golden amber containing a severed, multi-suckered appendage. The suckers are lined with razor-sharp teeth.","28 Gold/h","Isometric fantasy concept art of a massive block of golden amber containing a severed toothed tentacle resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Breathing Wood Mask","Mysterious (Organic)","A ceremonial mask carved from pale ironwood. Occasionally, the wood expands and contracts rhythmically, as if inhaling the dusty air.","20 Gold/h","Isometric fantasy concept art of a ceremonial mask carved from pale porous wood resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Geode Skull","Mysterious (Organic)","An elongated humanoid skull. The cranium is cracked open, revealing that the brain cavity is entirely filled with jagged, glowing amethyst crystals.","35 Gold/h","Isometric fantasy concept art of an elongated humanoid skull cracked open to reveal glowing amethyst crystals inside resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Autonomous Bone Flute","Mysterious (Organic)","A flute carved from a massive, unidentified femur. When left alone, a spectral wind blows through it, playing a haunting, atonal melody.","19 Gold/h","Isometric fantasy concept art of a long flute carved from a massive aged bone resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Metallic-Veined Egg","Mysterious (Organic)","A leathery, oversized egg. Its surface is covered in a network of pulsing veins made of liquid silver. It is dangerously heavy.","32 Gold/h","Isometric fantasy concept art of a leathery oversized egg covered in pulsing liquid silver veins resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Swirling Seed Jar","Mysterious (Organic)","A mason jar filled with water and strange, spiked seeds. The seeds constantly swim around each other in complex, organized patterns.","15 Gold/h","Isometric fantasy concept art of a glass jar filled with liquid and swimming spiked seeds resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Silver-Spiked Brain","Mysterious (Organic)","A mummified brain preserved in a dry state. Hundreds of tiny silver needles have been driven into specific lobes. An ancient lobotomy or an antenna?","26 Gold/h","Isometric fantasy concept art of a mummified brain pierced by hundreds of tiny silver needles resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Six-Jointed Mummy Hand","Mysterious (Organic)","A severed, desiccated hand. Each of its six incredibly long fingers possesses an extra joint. The nails are painted with dried blood.","21 Gold/h","Isometric fantasy concept art of a desiccated mummified hand with six extremely long multi-jointed fingers resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Razor-Leaf Nest","Mysterious (Organic)","A bird's nest woven entirely from metallic, razor-sharp leaves. Among the foliage lies a single, perfectly spherical pearl of black glass.","24 Gold/h","Isometric fantasy concept art of a bird nest woven from razor-sharp metallic leaves holding a black glass pearl resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Quicksilver Lotus","Mysterious (Organic)","A fleshy, blooming lotus flower. Instead of nectar, a pool of toxic, heavy quicksilver rests in its center, perfectly spherical and unmoving.","38 Gold/h","Isometric fantasy concept art of a fleshy lotus flower holding a perfectly spherical pool of liquid mercury resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Obsidian Spine Segment","Mysterious (Organic)","Three fused vertebrae carved from pure obsidian. The marrow canal is filled with a glowing, corrosive green sap.","27 Gold/h","Isometric fantasy concept art of three fused vertebrae carved from pure obsidian leaking glowing green sap resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Wriggling Mandrake Root","Mysterious (Organic)","A thick, humanoid-shaped root structure. When exposed to light, its tiny rootlets writhe in panic. I keep it covered in a burlap sack.","16 Gold/h","Isometric fantasy concept art of a thick humanoid-shaped mandrake root with writhing rootlets resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Frost-Breathing Lung","Mysterious (Organic)","A lung calcified into pale stone. Bizarrely, a freezing gust of wind escapes its trachea every few minutes, coating the display in frost.","29 Gold/h","Isometric fantasy concept art of a calcified pale stone lung exhaling a freezing white mist resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Iridescent Carapace Shield","Mysterious (Organic)","A piece of an insectoid shell so large it serves as a buckler. It shifts colors wildly depending on the angle of the light, causing intense nausea.","31 Gold/h","Isometric fantasy concept art of a massive iridescent insect carapace shield resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Crystal-Bound Parasite","Mysterious (Organic)","A jagged lump of salt crystal. Trapped within is a long, segmented tapeworm that appears to be made entirely of twisted copper wire.","23 Gold/h","Isometric fantasy concept art of a jagged lump of salt crystal trapping a segmented copper-wire tapeworm resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Weeping Fungal Cluster","Mysterious (Organic)","A shelf fungus that looks uncomfortably like human ears. It constantly drips a viscous, dark fluid that smells strongly of iron and ozone.","17 Gold/h","Isometric fantasy concept art of a cluster of shelf fungus resembling human ears dripping dark fluid resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Non-Euclidean Astrolabe","Mysterious (Technical)","A navigation tool composed of overlapping brass rings. Staring at it too long induces vertigo, as the rings seem to intersect impossibly.","36 Gold/h","Isometric fantasy concept art of a complex brass astrolabe with impossibly intersecting non-Euclidean rings resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Humming Copper Cylinder","Mysterious (Technical)","A heavy, featureless copper cylinder. It vibrates with intense kinetic energy, and placing it near compasses causes the needles to shatter.","18 Gold/h","Isometric fantasy concept art of a heavy featureless vibrating copper cylinder resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Fractal Glass Prism","Mysterious (Technical)","A prism containing an infinite recursion of smaller prisms. Shining a light through it projects a map of a city I have never seen.","45 Gold/h","Isometric fantasy concept art of a geometric glass prism containing infinite smaller fractal prisms resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Ruby-Lens Clockwork Eye","Mysterious (Technical)","An ocular prosthesis made of silver gears. The pupil is a faceted ruby that constantly dilates and contracts, scanning the room.","33 Gold/h","Isometric fantasy concept art of a mechanical ocular prosthesis made of silver gears and a faceted ruby lens resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Levitating Magnetic Top","Mysterious (Technical)","A spinning top made of bismuth and gold. It has been spinning silently in mid-air, an inch above its base, since I found it.","22 Gold/h","Isometric fantasy concept art of a spinning top made of bismuth and gold levitating silently in mid-air resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Liquid Starlight Syringe","Mysterious (Technical)","A heavy glass syringe tipped with an adamantine needle. The fluid inside is blindingly bright and completely ignores gravity.","40 Gold/h","Isometric fantasy concept art of a heavy glass syringe tipped with an adamantine needle filled with glowing bright liquid resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Gyroscopic Brass Cage","Mysterious (Technical)","A series of spinning brass cages suspended within one another. The innermost cage is empty, yet it possesses immense gravitational pull.","28 Gold/h","Isometric fantasy concept art of a series of spinning gyroscopic brass cages resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Silencing Tuning Fork","Mysterious (Technical)","A tuning fork forged from black iron. Striking it produces no sound; instead, it completely mutes all ambient noise within a ten-foot radius.","35 Gold/h","Isometric fantasy concept art of a tuning fork forged from matte black iron resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Black Ice Gears","Mysterious (Technical)","A set of interlocking gears carved from an impossibly cold, black crystalline substance. They turn smoothly without any external power source.","30 Gold/h","Isometric fantasy concept art of a set of interlocking gears carved from freezing black crystalline ice resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Obsidian Phonograph Cylinder","Mysterious (Technical)","An audio cylinder designed for a phonograph, but carved from volcanic glass. The grooves are microscopic. I dread to hear what is recorded on it.","20 Gold/h","Isometric fantasy concept art of a phonograph audio cylinder carved from shiny obsidian glass resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Wire-Wrapped Battery","Mysterious (Technical)","A crude ceramic jar wrapped in hundreds of layers of fine copper wire. Acid bubbles at the top. A primitive, highly unstable energy source.","16 Gold/h","Isometric fantasy concept art of a crude ceramic jar heavily wrapped in fine copper wire bubbling with acid resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Articulated Brass Tail","Mysterious (Technical)","A mechanical appendage ending in a syringe-like stinger. The segments move with terrifying fluidity, mimicking a scorpion's strike.","29 Gold/h","Isometric fantasy concept art of an articulated mechanical brass appendage ending in a syringe stinger resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Chaotic Metronome","Mysterious (Technical)","A standard wooden metronome, but the pendulum swings at completely randomized intervals. Following its rhythm causes severe migraines.","14 Gold/h","Isometric fantasy concept art of a wooden musical metronome with a frantic swinging pendulum resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Glowing Vacuum Cluster","Mysterious (Technical)","An array of large glass vacuum tubes. They flicker with arcing electrical storms inside, processing data for a machine long destroyed.","34 Gold/h","Isometric fantasy concept art of a cluster of large glass vacuum tubes flickering with internal electrical storms resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Oil-Bleeding Iron Box","Mysterious (Technical)","A heavy iron box that constantly oozes thick black oil from its welded seams. I cannot find a lid, yet it sounds hollow when tapped.","24 Gold/h","Isometric fantasy concept art of a heavy welded iron box constantly oozing thick black oil resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Dimensional Lens","Mysterious (Technical)","A heavy brass magnifying glass. Looking through the lens reveals the room exactly as it is, but heavily decayed and submerged in water.","42 Gold/h","Isometric fantasy concept art of a heavy brass magnifying glass revealing a flooded reality through its lens resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Platinum Thermal Caliper","Mysterious (Technical)","A measuring tool made of platinum. Instead of distance, clamping it onto an object measures its residual magical heat. Very delicate.","26 Gold/h","Isometric fantasy concept art of a precise measuring caliper tool made of gleaming platinum resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Rusted Automaton Core","Mysterious (Technical)","The central processing unit of an ancient clockwork golem. The intricate brass pin-barrels are severely bent and jammed with stone dust.","38 Gold/h","Isometric fantasy concept art of a rusted central processing core of an ancient clockwork golem resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Mercury Pendulum","Mysterious (Technical)","A swinging pendulum where the weight is a sealed glass orb filled with mercury. The sloshing liquid constantly alters its center of gravity.","21 Gold/h","Isometric fantasy concept art of a swinging brass pendulum with a glass orb filled with sloshing liquid mercury resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Arc-Light Lantern","Mysterious (Technical)","A heavy lantern with no wick or oil. Inside, a constant, blindingly bright electrical arc jumps between two carbon rods. It smells of ozone.","25 Gold/h","Isometric fantasy concept art of a heavy metal lantern containing a blindingly bright electrical arc resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Name","Category","Antiquarian_Description","Idle_Income","Generation_Prompt"
"Weeping Canvas","Cursed","A blank painter's canvas in a heavy gilded frame. Though no paint is applied, thick droplets of fresh, dark crimson blood continuously weep from the center.","27 Gold/h","Isometric fantasy concept art of a blank painter's canvas in a gilded frame weeping drops of dark red blood resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Strangling Scarf","Cursed","A beautifully woven silk scarf. I must keep it pinned down with heavy iron weights; otherwise, it slithers like a snake, seeking the nearest neck.","19 Gold/h","Isometric fantasy concept art of a slithering purple silk scarf pinned down by heavy iron weights resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Coin of Betrayal","Cursed","A silver piece depicting two faces looking away from each other. If flipped to make a decision, it will always land on the choice that leads to the most misery.","15 Gold/h","Isometric fantasy concept art of a tarnished silver coin depicting two faces looking in opposite directions resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Guilt-Ridden Mirror","Cursed","A cracked hand mirror. It does not reflect the room. Instead, anyone who gazes into it is forced to watch their greatest life regret play out on an endless loop.","35 Gold/h","Isometric fantasy concept art of a cracked silver hand mirror showing a swirling dark void in its reflection resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Screaming Chalice","Cursed","A beautifully jeweled goblet. If anyone attempts to bring it to their lips, the metal contorts into a horrific face and emits a deafening, agonizing shriek.","24 Gold/h","Isometric fantasy concept art of a jeweled golden goblet with the metal contorted into a screaming face resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Burnt Hangman's Noose","Cursed","A frayed rope tied into a perfect noose. It smells overwhelmingly of sulfur and ash, and the rope is always uncomfortably warm to the touch.","12 Gold/h","Isometric fantasy concept art of a frayed hangman's noose rope with scorched and charred edges resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Grasping Gauntlet","Cursed","An empty, rusted knight's gauntlet. If left unattended, it will slowly drag itself across the room in a desperate attempt to hold hands with someone.","21 Gold/h","Isometric fantasy concept art of an empty rusted iron knight's gauntlet with articulated fingers resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Dagger of Salt","Cursed","A ceremonial dagger whose blade is forged entirely of compressed sea salt. The hilt is always damp, and it seems to actively pull moisture from the air.","16 Gold/h","Isometric fantasy concept art of a ceremonial dagger with a blade made of compressed crystalline sea salt resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Bottled Shadow","Ethereal","An apothecary's flask sealed with lead. Inside, a patch of absolute, impenetrable darkness swirls. It absorbs the light of the exhibition hall hungrily.","32 Gold/h","Isometric fantasy concept art of an apothecary's glass flask sealed with lead containing absolute swirling darkness resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
